178 & f(0.34966,-0.45915) & 0.65914 \\
179 & f(0.33773,-0.16732) & 0.56965 \\
180 & f(0.40618,0.06614) & 0.54873 \\
181 & f(0.37095,-0.14709) & 0.56147 \\
182 & f(0.42076,0.08233) & 0.54860 \\
183 & f(0.39861,0.26586) & 0.58266 \\
184 & f(0.49888,0.01269) & 0.54176 \\
185 & f(0.54711,0.21015) & 0.56463 \\
186 & f(0.49569,-0.03188) & 0.54221 \\
187 & f(0.40055,-0.22550) & 0.57254 \\
188 & f(0.40844,0.01960) & 0.54652 \\
189 & f(0.51875,0.21568) & 0.56502 \\
190 & f(0.56300,0.37254) & 0.61274 \\
191 & f(0.57440,0.09803) & 0.54888 \\
192 & f(0.58552,-0.12157) & 0.55229 \\
193 & f(0.57242,-0.29726) & 0.58812 \\
194 & f(0.58593,-0.03781) & 0.54565 \\
195 & f(0.66275,0.16975) & 0.56851 \\
196 & f(0.71820,-0.06420) & 0.56645 \\
197 & f(0.74456,0.14864) & 0.58140 \\
198 & f(0.71765,0.31891) & 0.61512 \\
199 & f(0.72812,0.45513) & 0.67013 \\
